ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Italy Wine,Italy Red Wine,ITALY,41671,TOSCANA - BIBI GRAETZ TESTAMATTA 2018,626990379669,0.75,1,14,185.99,0
Wine,France Wine,France White Wine,FRANCE,49960,PESSAC LEOGNAN - CHATEAU LA MISSION HAUT BRION BLANC 2018,3609050946244,0.75,1,13,1500,NA
Wine,France Wine,France White Wine,FRANCE,55533,BOURGOGNE CHARDONNAY - LOUIS LATOUR 2020,3566921001177,0.75,1,13,34.99,0
Spirits,Rum,Amber Rum,JAMAICA,67433,APPLETON ESTATE - 12YO RARE CASKS,69321004562,0.75,1,43,50.99,NA
Wine,Portugal Wine,Portugal Red Wine,PORTUGAL,114419,ALENTEJO TINTO - HERDADE DO PESO SOSSEGO,5601012004786,0.75,1,14,12.99,0
Wine,France Wine,France Red Wine,FRANCE,227149,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,,0.75,1,13,1500,NA
Wine,France Wine,France Champagne Wine,FRANCE,250869,CHAMPAGNE FLUTEAU - BLANC DE BLANCS,3760216870015,0.75,1,12,72.99,1
Wine,Italy Wine,Italy Red Wine,ITALY,337600,TOSCANA - ROCCA DELLE MACIE ROCCATO 2019,8002305009162,0.75,1,14,49.99,0
Wine,France Wine,France Red Wine,FRANCE,388862,BOURGOGNE PINOT NOIR - ROSSIGNOL FEVRIER ORGANIC 2018,3760163352275,0.75,1,13,44.99,NA
Spirits,Gin,Dry Gin,UNITED KINGDOM,543173,HENDRICK'S GIN,5010327717029,0.375,1,44,30.49,NA
Wine,Chile Wine,Chile Red Wine,CHILE,761205,PINOT NOIR - UNDURRAGA GRAN RESERVA SIBARIS LEYDA VALLEY,7804315304722,0.75,1,13.5,19.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,920587,CABERNET SAUVIGNON - KAIKEN SELECCION ESPECIAL,715126555005,0.75,1,14,11.97,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,18812,MISSION HILL - RESERVE CHARDONNAY 2020,776545995391,0.75,1,13.5,26.99,1
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,35238,MATTHEW GLOAG - THE FAMOUS GROUSE,5010314113001,1.14,1,40,42.49,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,92968,CHECKMATE - ATTACK CHARDONNAY 2017,776545802033,0.75,1,13.9,105.99,0
Wine,France Wine,France Red Wine,FRANCE,97538,ST ESTEPHE - CHATEAU PHELAN SEGUR 2018,,0.75,1,13,110,NA
Wine,France Wine,France Red Wine,FRANCE,103159,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,696852012645,0.75,1,13,1500,NA
Wine,Germany Wine,Germany White Wine,GERMANY,177501,RIESLING - BLACK TOWER,785859876401,0.75,1,11.5,14.99,2
Wine,France Wine,France Red Wine,FRANCE,189194,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 1999,3448820005886,0.75,1,12.5,2600,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,189290,GLENFARCLAS - 40 YEAR OLD,5018066094067,0.7,1,43,2100,NA
Wine,Fortified Wine,Port Wine,PORTUGAL,194840,VINTAGE PORT - DOW'S 2017,5608309006614,0.75,1,20,135.99,10
Wine,France Wine,France White Wine,FRANCE,369264,BARSAC CHATEAU CLIMENS 2014,,0.375,1,13,70,0
Wine,France Wine,France Red Wine,FRANCE,390829,PAUILLAC - CHATEAU HAUT BATAILLEY 2019,3609051037736,0.75,1,14,150,NA
Wine,France Wine,France Red Wine,FRANCE,392702,ST JULIEN - LES FIEFS DE LAGRANGE 2019,3760172719823,0.75,1,14,70,NA
Wine,France Wine,France Red Wine,FRANCE,396141,PAUILLAC - CHATEAU LATOUR 2014,3412951406423,0.75,1,13,1500,0
Spirits,Rum,Amber Rum,CANADA,2808,BACARDI - GOLD,620213025609,0.375,1,40,12.49,NA
Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,26567,PINOT GRIGIO - OYSTER BAY HAWKES BAY 2020,9415549816622,0.75,1,13,17.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,51116,NARAMATA RANCH VINEYARD - MARTIN'S LANE PINOT NOIR 2016,776545992758,0.75,1,14.5,99.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,67205,FRIND ESTATE WINERY - PINOT NOIR CUVEE,626990415282,0.75,1,12.6,23.99,0
Wine,Hungary Wine,Hungary Sparkling Wine,HUNGARY,106492,HUNGARIA - GRANDE CUVEE BRUT,5998815750201,0.75,1,11.5,16.49,1
Wine,Fortified Wine,Port Wine,PORTUGAL,121749,TAYLOR FLADGATE - 10 YEAR OLD TAWNY,5013626111284,0.75,1,20,41.99,10
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,150704,BLACK FLY - VODKA CRUSHED ORANGE TALL CAN,883043001148,0.473,1,7,3.19,NA
Wine,Italy Wine,Italy White Wine,ITALY,169990,VERDICCHIO CLASSICO SUPERIORE - MUSONE VIA CONDOTTO 2021,8051764380008,0.75,1,12.5,19.99,0
Spirits,Gin,Dry Gin,JAPAN,187190,NIKKA - COFFEY GIN,3700597303269,0.7,1,47,65.99,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,270363,ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,8414837010118,0.75,1,14,15.99,0
Wine,France Wine,France Red Wine,FRANCE,290965,PAUILLAC - CHATEAU LYNCH BAGES 2010,3760020133436,0.75,1,13,269.99,NA
Wine,France Wine,France Red Wine,FRANCE,528554,COTE DE NUITS VILLAGES - JOSEPH DROUHIN,12086527012,0.75,1,13.5,59.99,0
Wine,Italy Wine,Italy Red Wine,ITALY,3962,CHIANTI CLASSICO - RICASOLI BROLIO 2018,618109027516,0.75,1,14,29.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,178251,SONOMA COUNTY RED - RIDGE GEYSERVILLE ALEXANDER VALLEY 2015,744442301003,0.75,1,14.6,84.99,0
Spirits,Tequila,Blanco/Silver Tequila,MEXICO,222839,SIERRA TEQUILA - SILVER,4062400115483,0.75,1,38,34.99,NA
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,377022,NUDE - PINK LEMONADE CAN,32302448754,0.355,6,5,13.99,NA
